genesymbol	log2FoldChange	padj	genename	chromosome_name	idx
YAL001C	2.57403389760742	0.0164853421451098	TFC3	1	29
YAL002W	0.118158652499398	0.8165946118221	VPS8	1	28
YAL003W	-0.491867307299214	0.452618086708253	EFB1	1	28
YAL005C	0.159583094840502	0.0990651866679679	SSA1	1	27
YAL007C	0.391412582602069	0.000315637457853729	ERP2	1	27
YAL008W	1.11627722135811	0.444171760735998	FUN14	1	27
YAL009W	-0.148810363865764	0.973005802265574	SPO7	1	27
YAL010C	-0.909138847475797	0.125728021411479	MDM10	1	26
YAL011W	-0.42584804020527	0.118107760470636	SWC3	1	26
YAL012W	0.270591424804064	0.254978664186261	CYS3	1	26
YAL013W	0.855536425586634	0.397921392317209	DEP1	1	25
YAL014C	0.683558803997052	0.53120547506889	SYN8	1	25
YAL015C	0.758943677477338	0.818010180112961	NTG1	1	25
YAL016W	0.160124616039994	0.958032720195957	TPD3	1	24
YAL017W	-0.206005928722218	0.964352258920997	PSK1	1	24
YAL018C	-0.861695094226467	0.733789638477486	LDS1	1	23
YAL019W	0.0392314225691059	0.121910416109487	FUN30	1	22
YAL020C	0.629271415017662	0.750885392875767	ATS1	1	22
YAL021C	0.0645955271229035	0.882792046689625	CCR4	1	22
YAL022C	0.0970041138144395	0.00457593384798434	FUN26	1	21
YAL023C	0.944829464780745	0.310289435041351	PMT2	1	21
YAL024C	-0.844093494249586	0.268595205904509	LTE1	1	20
YAL025C	-0.925578370996211	4.63305573243407e-06	MAK16	1	20
YAL026C	0.0862509786554553	0.980908103736208	DRS2	1	19
YAL027W	0.626616067700566	0.486399519621506	SAW1	1	18
YAL028W	-1.88038648511947	0.0409046479406941	FRT2	1	18
YAL029C	2.39011138750043	0.0648439156584285	MYO4	1	17
YAL030W	0.750754338408256	0.0569331772549473	SNC1	1	17
YAL031C	-0.0421485713031675	0.551089291142889	GIP4	1	16
YAL032C	2.2924867780915	1.58175770236467e-09	PRP45	1	16
YAL033W	1.02476483217249	0.453739746769877	POP5	1	16
YAL034C	3.46830899365499	6.95703013767177e-06	FUN19	1	16
YAL034W-A	3.43093035036145	2.14597205077494e-06	MTW1	1	15
YAL035W	-0.0568433354347587	0.016684299098288	FUN12	1	15
YAL036C	-0.791520067301855	0.51556626752738	RBG1	1	15
YAL037C-A	3.75737292427838	0.256584337757317	NA	1	14
YAL037W	-0.532974614226064	0.482399868131996	NA	1	14
YAL038W	0.559652232697639	0.0597424661879181	CDC19	1	14
YAL039C	-0.884222521713895	0.206857806795987	CYC3	1	13
YAL040C	0.0384694994457491	0.214896337358354	CLN3	1	13
YAL041W	1.74857694000618	0.114471629614048	CDC24	1	12
YAL042W	0.432016912189868	3.94369835556196e-05	ERV46	1	12
YAL043C	0.439876976112492	0.783023217458386	PTA1	1	11
YAL044C	2.61504165017267	0.0303238017812833	GCV3	1	11
