genename	ensembl	log2FoldChange	chromosome_name	idx
POC4	YPL144W	-2.82173493855114	16	56
ALD4	YOR374W	-2.80426141300934	15	207
MHO1	YJR008W	-2.28845148900027	10	90
FAF1	YIL019W	-2.27484243844166	9	63
BUD20	YLR074C	-1.85126194382163	12	56
AAD3	YCR107W	-1.82514747332938	3	62
ADH2	YMR303C	-1.75748609128496	13	174
CSS1	YIL169C	-1.61669868751623	9	4
HMF1	YER057C	-1.61645549749546	5	54
GYP5	YPL249C	-1.52731376041999	16	15
ADA2	YDR448W	-1.510107397605	4	271
ZEO1	YOL109W	-1.50904111590256	15	22
CGR1	YGL029W	-1.4775675770138	7	88
RPS21A	YKR057W	-1.46723262010306	11	110
RPL9A	YGL147C	-1.4315124658488	7	45
YNG1	YOR064C	-1.39791035338042	15	89
NOP53	YPL146C	-1.39094789680457	16	55
SMP1	YBR182C	-1.32712249523687	2	118
ZNF1	YFL052W	-1.23242115387259	6	5
TEF4	YKL081W	-1.1907380638441	11	56
RPS25B	YLR333C	-1.18520259930789	12	159
ERB1	YMR049C	-1.16407686035714	13	73
RPS2	YGL123W	-1.12406071387768	7	55
RPP1B	YDL130W	-1.10207002256257	4	45
RPL38	YLR325C	-1.06414704642203	12	156
CHS7	YHR142W	-1.0331024323863	8	76
