genename	ensembl	log2FoldChange	chromosome_name	idx
RPL9A	YGL147C	-4.53148215152906	7	45
NSR1	YGR159C	-4.20600318776563	7	161
RPI1	YIL119C	-4.07204348852329	9	27
ARF3	YOR094W	-3.983664090054	15	100
MSG5	YNL053W	-3.95245423724974	14	105
POC4	YPL144W	-3.85435869739797	16	56
SAM1	YLR180W	-3.79844441967091	12	103
RPS6A	YPL090C	-3.69285567962085	16	75
NOP56	YLR197W	-3.66860364320205	12	109
RPS21A	YKR057W	-3.64820844979862	11	110
RPS18B	YML026C	-3.62901823030205	13	44
RPS22A	YJL190C	-3.60683524566123	10	14
RPL29	YFR032C-A	-3.54477397370835	6	44
NHP2	YDL208W	-3.49069944612342	4	17
RPS9A	YPL081W	-3.48885650017848	16	80
ADA2	YDR448W	-3.47412964454807	4	271
ECM11	YDR446W	-3.46777103810944	4	270
SSB1	YDL229W	-3.43102542008643	4	8
RPL42A	YHR141C	-3.42568746147589	8	76
PHO5	YBR093C	-3.41957418883123	2	85
RPL22A	YLR061W	-3.41265051711401	12	52
RPL24A	YGL031C	-3.38676003987224	7	87
NOC2	YOR206W	-3.38658034263037	15	145
RPS5	YJR123W	-3.38556454422561	10	130
RPS31	YLR167W	-3.34839111564243	12	99
ICL1	YER065C	-3.34482855563801	5	57
RPS10A	YOR293W	-3.33752399103799	15	173
RPL31A	YDL075W	-3.31993177974317	4	64
RPS8A	YER102W	-3.28562342792451	5	72
RPS12	YOR369C	-3.27126260667633	15	205
RPL6B	YLR448W	-3.2683240136905	12	205
NIP7	YPL211W	-3.23816635813552	16	30
CBP1	YJL209W	-3.23170630876509	10	7
HTB2	YBL002W	-3.2307700018804	2	47
SHU1	YHL006C	-3.22203068424965	8	19
MRT4	YKL009W	-3.20639083783346	11	85
JLP2	YMR132C	-3.20331379743971	13	106
SPO74	YGL170C	-3.19664009031726	7	36
RPS25B	YLR333C	-3.18998862347716	12	159
RPS24A	YER074W	-3.18998147217173	5	61
CDD1	YLR245C	-3.18565051723794	12	125
UNG1	YML021C	-3.18167481001026	13	45
SUT2	YPR009W	-3.18107801469159	16	115
RPS20	YHL015W	-3.17771989261872	8	15
RPS1A	YLR441C	-3.17731556775971	12	203
RPL6A	YML073C	-3.17393366933518	13	24
PXR1	YGR280C	-3.16775450264508	7	210
RPL8B	YLL045C	-3.16279484165039	12	9
TEF4	YKL081W	-3.15723175686694	11	56
RPL17B	YJL177W	-3.15672220168392	10	18
RPL26B	YGR034W	-3.1202022683821	7	111
RPS11B	YBR048W	-3.11709666188388	2	66
RPL27A	YHR010W	-3.11572958016146	8	25
RPL3	YOR063W	-3.10774263840706	15	88
RPL21B	YPL079W	-3.1019313584622	16	81
RPP1B	YDL130W	-3.09906646144846	4	45
RPL24B	YGR148C	-3.08990816737782	7	157
RPL5	YPL131W	-3.0793968941741	16	60
YMC1	YPR058W	-3.06696032615521	16	134
RPA34	YJL148W	-3.06595990250793	10	28
RPS1B	YML063W	-3.05382908934726	13	29
BUD20	YLR074C	-3.04491284640653	12	56
DML1	YMR211W	-3.03213995271963	13	137
RPS4A	YJR145C	-3.02758761493915	10	140
NOP15	YNL110C	-3.02161187245939	14	83
RPL27B	YDR471W	-3.0037222590483	4	280
RPS3	YNL178W	-2.99787252828258	14	60
RPS2	YGL123W	-2.99337994901797	7	55
CGR1	YGL029W	-2.98000503591443	7	88
RPS23B	YPR132W	-2.9756873474515	16	158
RPL36B	YPL249C-A	-2.96435172777647	16	15
RPL32	YBL092W	-2.96416426246076	2	9
RPF2	YKR081C	-2.95774009857626	11	118
STM1	YLR150W	-2.95630659593283	12	88
SPO12	YHR152W	-2.95125433555651	8	80
RPL40B	YKR094C	-2.94682347719128	11	123
RPS26A	YGL189C	-2.93951539652056	7	29
RPS11B	YDR025W	-2.92297083673845	4	98
RPS10B	YMR230W	-2.91730211010467	13	146
ALB1	YJL122W	-2.90450568072934	10	37
ARA1	YBR149W	-2.88850974678992	2	107
RPS4A	YHR203C	-2.88814011993327	8	100
RPL13B	YMR142C	-2.88604487808231	13	110
PKH1	YDR490C	-2.87509322209119	4	286
RPL42A	YNL162W	-2.87076493235885	14	66
RPL41A	YDL184C	-2.86931234804533	4	26
RPO26	YPR187W	-2.85758308152894	16	182
ASC1	YMR116C	-2.85709846531633	13	99
EBP2	YKL172W	-2.85107381032284	11	25
RGS2	YOR107W	-2.84100545463223	15	104
RRS1	YOR294W	-2.83919816166396	15	173
RPL39	YJL189W	-2.83657075142068	10	15
HSH49	YOR319W	-2.83168574781041	15	182
CHS7	YHR142W	-2.81721028761123	8	76
RLP24	YLR009W	-2.7880742055773	12	33
RPL33A	YPL143W	-2.78597967545708	16	56
RPS28A	YOR167C	-2.78116822448307	15	129
RPL21A	YBR191W	-2.77955526897058	2	121
MHO1	YJR008W	-2.77828874562497	10	90
NOP58	YOR310C	-2.74383743782908	15	179
FYV5	YCL058C	-2.73533078105067	3	4
PAC10	YGR078C	-2.72956750230484	7	127
DRS1	YLL008W	-2.72634929550617	12	26
RPL36A	YMR194W	-2.71401115368094	13	130
