genename	ensembl	log2FoldChange	chromosome_name	idx
POC4	YPL144W	-3.85435869739797	16	56
RPS9A	YPL081W	-3.48885650017848	16	80
SSB1	YDL229W	-3.43102542008643	4	8
TEF4	YKL081W	-3.15723175686694	11	56
RPL3	YOR063W	-3.10774263840706	15	88
RPL21B	YPL079W	-3.1019313584622	16	81
RPS4A	YJR145C	-3.02758761493915	10	140
RPS3	YNL178W	-2.99787252828258	14	60
RPS2	YGL123W	-2.99337994901797	7	55
RPS4A	YHR203C	-2.88814011993327	8	100
HTB1	YDR224C	-2.60109269838683	4	182
RPL15A	YLR029C	-2.50326728903569	12	40
ILV5	YLR355C	-2.47655781772543	12	167
YEF3	YLR249W	-2.43597059014056	12	127
CIN1	YOR349W	-2.29692189370367	15	197
RPP0	YLR340W	-2.24258567537373	12	161
HYP2	YEL034W	-1.97925121562261	5	17
CSS1	YIL169C	-1.53633998753202	9	4
