genename	ensembl	log2FoldChange	chromosome_name	idx
MF(ALPHA)1	YPL187W	-4.72475723168558	16	38
PRM10	YJL108C	-4.68510084140226	10	43
RPL9A	YGL147C	-4.53148215152906	7	45
NSR1	YGR159C	-4.20600318776563	7	161
RPI1	YIL119C	-4.07204348852329	9	27
AMS1	YGL156W	-3.78141168273162	7	42
RPS6A	YPL090C	-3.69285567962085	16	75
NOP56	YLR197W	-3.66860364320205	12	109
RPS18B	YML026C	-3.62901823030205	13	44
NOP7	YGR103W	-3.61552878933273	7	139
RPS22A	YJL190C	-3.60683524566123	10	14
MRX12	YJR003C	-3.53215412026231	10	88
HBT1	YDL223C	-3.5004726347614	4	11
RPS9A	YPL081W	-3.48885650017848	16	80
SSB1	YDL229W	-3.43102542008643	4	8
RPL42A	YHR141C	-3.42568746147589	8	76
RPL22A	YLR061W	-3.41265051711401	12	52
RPL24A	YGL031C	-3.38676003987224	7	87
NOC2	YOR206W	-3.38658034263037	15	145
RPS5	YJR123W	-3.38556454422561	10	130
RPS31	YLR167W	-3.34839111564243	12	99
CDC33	YOL139C	-3.34017895838571	15	12
RPS10A	YOR293W	-3.33752399103799	15	173
RPL31A	YDL075W	-3.31993177974317	4	64
MOH1	YBL049W	-3.31972123272938	2	25
RPS8A	YER102W	-3.28562342792451	5	72
RPS12	YOR369C	-3.27126260667633	15	205
RPL6B	YLR448W	-3.2683240136905	12	205
CLD1	YGR110W	-3.2588598305933	7	142
CSM3	YMR048W	-3.25004161584142	13	73
HTB2	YBL002W	-3.2307700018804	2	47
MRT4	YKL009W	-3.20639083783346	11	85
RPS25B	YLR333C	-3.18998862347716	12	159
RPS24A	YER074W	-3.18998147217173	5	61
CSR2	YPR030W	-3.18663792567622	16	125
RPS20	YHL015W	-3.17771989261872	8	15
RPS1A	YLR441C	-3.17731556775971	12	203
RPL6A	YML073C	-3.17393366933518	13	24
PXR1	YGR280C	-3.16775450264508	7	210
ALD4	YOR374W	-3.1677022332239	15	207
TEF4	YKL081W	-3.15723175686694	11	56
RPL17B	YJL177W	-3.15672220168392	10	18
RPS0B	YLR048W	-3.14145306651182	12	48
RPL26B	YGR034W	-3.1202022683821	7	111
RPS11B	YBR048W	-3.11709666188388	2	66
RPL27A	YHR010W	-3.11572958016146	8	25
RPL3	YOR063W	-3.10774263840706	15	88
RPL21B	YPL079W	-3.1019313584622	16	81
RPP1B	YDL130W	-3.09906646144846	4	45
RPL24B	YGR148C	-3.08990816737782	7	157
RPL5	YPL131W	-3.0793968941741	16	60
RPS1B	YML063W	-3.05382908934726	13	29
RPS4A	YJR145C	-3.02758761493915	10	140
RPL27B	YDR471W	-3.0037222590483	4	280
RPS3	YNL178W	-2.99787252828258	14	60
RPS2	YGL123W	-2.99337994901797	7	55
RPS23B	YPR132W	-2.9756873474515	16	158
RPA135	YPR010C	-2.97029539901489	16	115
RPL32	YBL092W	-2.96416426246076	2	9
RPF2	YKR081C	-2.95774009857626	11	118
STM1	YLR150W	-2.95630659593283	12	88
RPS26A	YGL189C	-2.93951539652056	7	29
RPS11B	YDR025W	-2.92297083673845	4	98
RPS10B	YMR230W	-2.91730211010467	13	146
RPS4A	YHR203C	-2.88814011993327	8	100
RPL13B	YMR142C	-2.88604487808231	13	110
PKH1	YDR490C	-2.87509322209119	4	286
RPL42A	YNL162W	-2.87076493235885	14	66
RPL41A	YDL184C	-2.86931234804533	4	26
ASC1	YMR116C	-2.85709846531633	13	99
GRE2	YOL151W	-2.85094076451504	15	8
RGS2	YOR107W	-2.84100545463223	15	104
