genename	ensembl	log2FoldChange	chromosome_name	idx
CYT1	YOR065W	1.61840213906882	15	89
SCM4	YGR049W	1.70879376736864	7	118
ENT2	YLR206W	1.74143257413645	12	110
SUR7	YML052W	1.78892862321583	13	34
TDA3	YHR009C	1.79610648664966	8	24
HOG1	YLR113W	1.79859352476053	12	74
AGP1	YCL025C	1.80528435695195	3	15
TIP1	YBR067C	1.81713188285772	2	74
TPO1	YLL028W	1.84978332113504	12	16
ENV9	YOR246C	1.94944120606408	15	159
MCR1	YKL150W	1.96868500355208	11	33
RRD1	YIL153W	1.97282427618113	9	11
TRM13	YOL125W	1.9929496903848	15	16
WAR1	YML076C	1.99510265144679	13	22
CIR2	YOR356W	2.04772261243013	15	201
SED1	YDR077W	2.04978668582494	4	120
GLK1	YCL040W	2.06395060480795	3	10
URN1	YPR152C	2.06399994510723	16	166
PRR2	YDL214C	2.10484671673806	4	14
IZH4	YOL101C	2.13920697102624	15	25
LDB7	YBL006C	2.33309412527989	2	43
GAT1	YFL021W	2.34270112372104	6	19
FMP40	YPL222W	2.35419981113831	16	26
SOH1	YGL127C	2.3875429468022	7	54
FET3	YMR058W	2.45561701371255	13	77
TYE7	YOR344C	2.46640078796178	15	195
SML1	YML058W	2.47724656135708	13	31
REG2	YBR050C	2.50087628571225	2	67
MSN2	YMR037C	2.50858764856142	13	68
AQY1	YPR192W	2.53147400558065	16	184
PHO86	YJL117W	2.55459969912593	10	38
SIP4	YJL089W	2.5805348168803	10	53
UFO1	YML088W	2.66839008952116	13	18
YAP6	YDR259C	2.78207898977479	4	194
HSP12	YFL014W	2.82402224305213	6	21
PMP1	YCR024C-A	2.89209971640089	3	32
OYE3	YPL171C	2.96286104077358	16	45
SLM4	YBR077C	3.04366208103627	2	78
ORM1	YGR038W	3.04451805621458	7	112
MDH2	YOL126C	3.06084309116119	15	16
LSM5	YER146W	3.16022261567294	5	92
DAP1	YPL170W	3.22408705945469	16	45
CMP2	YML057W	3.29140304075893	13	32
ATO3	YDR384C	3.29141079138031	4	248
SDS23	YGL056C	3.29890412020116	7	79
SRO9	YCL037C	3.30752686390536	3	11
IRC23	YOR044W	3.33376263584803	15	82
MAM3	YOL060C	3.34065747207304	15	42
BSC2	YDR275W	3.39367745650419	4	202
VHR2	YER064C	3.40790064841333	5	56
SNA3	YJL151C	3.44750056741155	10	27
ADO1	YJR105W	3.69474440140771	10	124
ERG8	YMR220W	3.90430434366232	13	142
DDR2	YOL052C-A	3.92328927401216	15	46
COX12	YLR038C	4.13302813390748	12	44
GSH1	YJL101C	4.25575330003078	10	46
LSB6	YJL100W	4.27793265872259	10	47
APC1	YNL172W	4.82527052339096	14	62
MPH1	YIR002C	4.84327656929143	9	71
COS111	YBR203W	4.91454396029431	2	125
MRS3	YJL133W	5.83467619661202	10	32
MOT3	YMR070W	5.86425335738494	13	81
