genename	ensembl	log2FoldChange	chromosome_name	idx
CDC5	YMR001C	1.55696962224864	13	53
SUR7	YML052W	1.78892862321583	13	34
CLB2	YPR119W	1.93486085684796	16	154
ENV9	YOR246C	1.94944120606408	15	159
MCR1	YKL150W	1.96868500355208	11	33
MMR1	YLR190W	2.09667186604759	12	107
CLN1	YMR199W	2.74181670665861	13	132
ASE1	YOR058C	2.77541110812484	15	86
SFB3	YHR098C	2.81604014013035	8	59
PMP1	YCR024C-A	2.89209971640089	3	32
SLM4	YBR077C	3.04366208103627	2	78
ACE2	YLR131C	3.66756542348688	12	80
GSH1	YJL101C	4.25575330003078	10	46
LSB6	YJL100W	4.27793265872259	10	47
DFR1	YOR236W	4.37734540090024	15	156
