genename	ensembl	log2FoldChange	chromosome_name	idx
VTC1	YER072W	1.14987856622769	5	60
HEM1	YDR232W	1.30139518969493	4	185
APE1	YKL103C	1.43500360584344	11	49
FRE6	YLL051C	1.46030009389591	12	7
MET14	YKL001C	1.48372510408187	11	87
HSP42	YDR171W	1.50108582663814	4	161
SAG1	YJR004C	1.62512471546239	10	88
BAG7	YOR134W	1.66725434019674	15	115
ZPS1	YOL154W	1.68394124606306	15	6
DCS2	YOR173W	1.78414654721391	15	131
SUR7	YML052W	1.78892862321583	13	34
HOG1	YLR113W	1.79859352476053	12	74
VTC3	YPL019C	1.79878780825993	16	102
AGP1	YCL025C	1.80528435695195	3	15
TIP1	YBR067C	1.81713188285772	2	74
NRP1	YDL167C	1.8199800568809	4	32
PET20	YPL159C	1.88063116822949	16	50
SET6	YPL165C	1.89538032766921	16	47
RSM22	YKL155C	1.90499605478286	11	31
CLB2	YPR119W	1.93486085684796	16	154
INA1	YLR413W	1.96865129390157	12	190
RRD1	YIL153W	1.97282427618113	9	11
KAR1	YNL188W	1.97610110206783	14	57
SSA4	YER103W	2.01051762161646	5	72
CRH1	YGR189C	2.03486657015036	7	175
PMD1	YER132C	2.04629497303287	5	85
SED1	YDR077W	2.04978668582494	4	120
GLK1	YCL040W	2.06395060480795	3	10
STF2	YGR008C	2.06899480600705	7	101
VPS62	YGR141W	2.08300698061247	7	154
MMR1	YLR190W	2.09667186604759	12	107
PRR2	YDL214C	2.10484671673806	4	14
PPR1	YLR014C	2.13123106736081	12	34
IZH4	YOL101C	2.13920697102624	15	25
ULP2	YIL031W	2.17012738758281	9	58
IDH1	YNL037C	2.19039000451111	14	111
PLB2	YMR006C	2.19527057221912	13	55
FAR3	YMR052W	2.22238795053406	13	75
SIR4	YDR227W	2.23045018817447	4	183
LDS2	YOL047C	2.26058650821441	15	48
AQY3	YFL054C	2.30436544375247	6	4
SOR1	YJR159W	2.31359501220273	10	147
BLS1	YLR408C	2.31948584838138	12	186
