genename	ensembl	log2FoldChange	chromosome_name	idx
VTC1	YER072W	1.14987856622769	5	60
MRPL6	YHR147C	1.61711160586599	8	78
GIC1	YHR061C	1.79635621542778	8	44
TIP1	YBR067C	1.81713188285772	2	74
WAR1	YML076C	1.99510265144679	13	22
CRH1	YGR189C	2.03486657015036	7	175
RIC1	YLR039C	2.03641813209401	12	45
CSH1	YBR161W	2.25093011259896	2	112
POP1	YNL221C	2.2835349734729	14	46
SSY1	YDR160W	2.33323748518199	4	155
COX10	YPL172C	2.37646516143731	16	44
OPI10	YOL032W	2.45176125986811	15	53
MRPL40	YPL173W	2.45179858958471	16	44
MET1	YKR069W	2.47074370716824	11	114
YKE4	YIL023C	2.51513837582865	9	61
CCM1	YGR150C	2.62957240215857	7	158
VPS41	YDR080W	2.63265778223001	4	120
BUR6	YER159C	2.65444008563919	5	98
SLD2	YKL108W	2.74024061715284	11	46
BIT2	YBR270C	2.86059490455349	2	148
PTP2	YOR208W	2.95070041132049	15	146
SPT16	YGL207W	3.32029759588802	7	19
YCK2	YNL154C	3.78360094506274	14	68
VPS35	YJL154C	5.05737686181264	10	26
