Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	genename	chromosome_name	start_position	end_position	strand
Q0158	6.5248972795063	1.3004406674752	1.1791153801541	2.46242713591527	0.291938075923826	0.466166977274946	NA	Mito	58009	62447	1
YAL001C	152.194331835409	2.57403389760742	0.767622644678852	11.4156737027901	0.00331984610383385	0.0164853421451098	TFC3	I	147594	151166	-1
YAL002W	78.7260454166248	0.118158652499398	0.697442892058632	0.722758917621995	0.696714573817129	0.8165946118221	VPS8	I	143707	147531	1
YAL003W	117.199148604959	-0.491867307299214	0.595635918580599	2.5598427668102	0.278059159658248	0.452618086708253	EFB1	I	142174	143160	1
YAL005C	85.6274445873484	0.159583094840502	0.653172703346416	6.74773433511515	0.0342569036707169	0.0990651866679679	SSA1	I	139503	141431	-1
YAL007C	171.012771465209	0.391412582602069	0.504679072487677	20.988644822549	2.76932346441614e-05	0.000315637457853729	ERP2	I	137698	138345	-1
YAL008W	16.4436684231179	1.11627722135811	0.836484673862699	2.61332337948755	0.270722304600577	0.444171760735998	FUN14	I	136914	137510	1
YAL009W	16.166033519852	-0.148810363865764	0.780111145625104	0.0745171423971982	0.963426988668141	0.973005802265574	SPO7	I	135854	136633	1
YAL010C	74.0582927015661	-0.909138847475797	0.555663105076704	6.09173002612518	0.0475551583577098	0.125728021411479	MDM10	I	134184	135665	-1
YAL011W	219.581007308611	-0.42584804020527	0.521467775794715	6.27233631757652	0.0434489688777987	0.118107760470636	SWC3	I	132199	134076	1
YAL012W	197.449702340189	0.270591424804064	0.493953159258225	4.18403485316856	0.123437857636285	0.254978664186261	CYS3	I	130799	131983	1
YAL013W	173.375851257627	0.855536425586634	0.687603812405457	2.92971045512748	0.231111447622828	0.397921392317209	DEP1	I	129270	130487	1
YAL014C	26.3703385499237	0.683558803997052	0.732138026415818	2.05406146618168	0.358068584866465	0.53120547506889	SYN8	I	128252	129019	-1
YAL015C	12.599505581981	0.758943677477338	0.973173525189726	0.710461443269359	0.701011685986724	0.818010180112961	NTG1	I	126903	128102	-1
YAL016W	84.6687343138832	0.160124616039994	0.578657310786772	0.133502626294415	0.935427801009185	0.958032720195957	TPD3	I	124879	126786	1
YAL017W	41.2476129932115	-0.206005928722218	0.677779998520266	0.107297953603627	0.947764735526724	0.964352258920997	PSK1	I	120225	124295	1
